,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,257,1,1.762533439001345,4.538920977597348,2.480288028717041,2.3276877403259277
1,8,2,257,1,1.3722718980006903,5.829748471607902,2.346933364868164,2.2650275230407715
2,8,4,257,1,1.2139295439992566,6.590168300578818,2.328695297241211,2.283853054046631
3,8,8,257,1,1.1765148760005104,6.799744026353076,2.414424419403076,2.3767237663269043
4,16,1,257,1,3.72230936699998,4.298406828257616,3.060275077819824,2.7583518028259277
5,16,2,257,1,2.6721518989998003,5.987683561697551,2.7618279457092285,2.5774893760681152
6,16,4,257,1,2.3116593539998576,6.921435016935019,2.6602115631103516,2.483090877532959
7,16,8,257,1,2.2006025899991073,7.2707357851498715,2.6437816619873047,2.436723232269287
8,24,1,257,1,5.844860301000153,4.106171707113889,3.5619826316833496,2.9670615196228027
9,24,2,257,1,4.050817706000089,5.924729706906113,3.065638542175293,2.683652400970459
10,24,4,257,1,3.3516128530009155,7.160731579875417,2.8179993629455566,2.5420546531677246
11,24,8,257,1,3.2458821879990865,7.393983703023652,2.6948413848876953,2.471526622772217
12,32,1,257,1,8.066019129000779,3.9672606137203856,3.9043288230895996,3.1683859825134277
13,32,2,257,1,5.612657259000116,5.701399270138355,3.242495536804199,2.7898154258728027
14,32,4,257,1,4.550766344000294,7.031782689126333,2.9123101234436035,2.6010184288024902
15,32,8,257,1,4.273647886000617,7.487748371788854,2.7472171783447266,2.506619930267334
16,40,1,257,1,10.367215002999728,3.858316817817138,4.245667934417725,3.3687033653259277
17,40,2,257,1,7.2345394889998715,5.5290319530109775,3.419856548309326,2.896481990814209
18,40,4,257,1,5.737111078999078,6.972150172657731,3.0167336463928223,2.6682562828063965
19,40,8,257,1,5.288379333000194,7.563753936937665,2.8319931030273438,2.5419840812683105
20,48,1,257,1,12.555650809999861,3.8229798459965716,4.635290145874023,3.5694479942321777
21,48,2,257,1,8.89960126099868,5.393500067284321,3.660752773284912,3.0023550987243652
22,48,4,257,1,6.855785661000482,7.001385745334874,3.1961469650268555,2.7189459800720215
23,48,8,257,1,6.154999046000739,7.798538982908274,2.948507785797119,2.577348232269287
24,56,1,257,1,14.830945800000336,3.775888655732174,5.024176597595215,3.7693381309509277
25,56,2,257,1,10.571799875000579,5.297111245212342,3.8689513206481934,3.108304500579834
26,56,4,257,1,8.170145539999794,6.854223064427982,3.300318717956543,2.785977840423584
27,56,8,257,1,7.188934797999536,7.789749326365167,3.0015454292297363,2.6127123832702637
28,64,1,257,1,17.058326884000053,3.7518333676692017,5.3678297996521,3.9696555137634277
29,64,2,257,1,12.25348299199868,5.223004760506946,4.04660177230835,3.2154440879821777
30,64,4,257,1,9.455894470000203,6.7682650438884,3.384768486022949,2.8368735313415527
31,64,8,257,1,8.241218856999694,7.765841571558494,3.0545830726623535,2.6480765342712402
