,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,128,1,0.9332286140001997,8.572390387505079,3.045412063598633,3.029787063598633
1,8,1,192,1,1.4825631949997842,5.396060031020239,3.238962173461914,3.223337173461914
2,8,1,256,1,2.187710238999898,3.656791405637505,3.4325122833251953,3.4168872833251953
3,8,1,320,1,2.913244683999892,2.7460789833197192,3.6260623931884766,3.6104373931884766
4,8,1,384,1,3.46899527100004,2.30614324178475,3.820466995239258,3.804841995239258
5,16,1,128,1,2.1502587570003016,7.4409649294118685,3.4325122833251953,3.4168872833251953
6,16,1,192,1,3.400698474999899,4.704915804098296,3.820466995239258,3.804841995239258
7,16,1,256,1,4.161308654000095,3.84494430246597,4.20720100402832,4.19157600402832
8,16,1,320,1,5.279135647000203,3.0307991818872435,4.593935012817383,4.578310012817383
9,16,1,384,1,7.293834805000188,2.1936334490371814,4.980913162231445,4.965288162231445
10,24,1,128,1,3.377330696000172,7.1062037331504415,3.820466995239258,3.804841995239258
11,24,1,192,1,4.833349265999914,4.9655008730338315,4.400568008422852,4.384943008422852
12,24,1,256,1,7.205354776000149,3.330856112726059,4.980913162231445,4.965288162231445
13,24,1,320,1,8.133439423000254,2.950781182697603,5.561563491821289,5.545938491821289
14,24,1,384,1,10.251782274000107,2.3410563508422544,6.142824172973633,6.127199172973633
