name,time,memory_gpu_0,max_memory_gpu_0,memory_gpu_1,max_memory_gpu_1
start,0.0,2.6503796577453613,2.6503820419311523,2.6347546577453613,2.6347570419311523
START forward,0.01383558300040022,2.6503806114196777,2.6503829956054688,2.6347556114196777,2.6347579956054688
START compute,0.015655600000172853,2.650381565093994,2.650383949279785,2.634756565093994,2.634758949279785
START inner strategy,0.19908000999930664,2.666377544403076,2.689815044403076,2.642817974090576,2.642820358276367
END inner strategy,0.42284429100072884,2.6663784980773926,2.6663808822631836,2.6428189277648926,2.6428213119506836
END compute,0.5474128890000429,2.7071471214294434,2.7091002464294434,2.6915221214294434,2.6934752464294434
START final strategy,0.5485716660004982,2.7071480751037598,2.707150459289551,2.6915230751037598,2.691525459289551
END final strategy,0.6627886969999963,2.707149028778076,2.707151412963867,2.691524028778076,2.691526412963867
START compute,0.6651464149999811,2.7071499824523926,2.7071523666381836,2.6915249824523926,2.6915273666381836
START inner strategy,0.7465622939998866,2.7231459617614746,2.7465834617614746,2.6995863914489746,2.6995887756347656
END inner strategy,0.7509873870003503,2.723146915435791,2.723149299621582,2.699587345123291,2.699589729309082
END compute,0.8413816770007543,2.763915538787842,2.765868663787842,2.748290538787842,2.750243663787842
START final strategy,0.8425392709996231,2.763916492462158,2.763918876647949,2.748291492462158,2.748293876647949
END final strategy,0.9090311969994218,2.7639174461364746,2.7639198303222656,2.7482924461364746,2.7482948303222656
START compute,0.9111856799991074,2.763918399810791,2.763920783996582,2.748293399810791,2.748295783996582
START inner strategy,0.992830748000415,2.779914379119873,2.803351879119873,2.756354808807373,2.756357192993164
END inner strategy,0.997284454999317,2.7799153327941895,2.7799177169799805,2.7563557624816895,2.7563581466674805
END compute,1.0871100679996744,2.8206839561462402,2.8226370811462402,2.8050589561462402,2.8070120811462402
START final strategy,1.0883350460007932,2.8206849098205566,2.8206872940063477,2.8050599098205566,2.8050622940063477
END final strategy,1.1548506649996853,2.820685863494873,2.820688247680664,2.805060863494873,2.805063247680664
START compute,1.1565482990008604,2.8206868171691895,2.8206892013549805,2.8050618171691895,2.8050642013549805
START inner strategy,1.2388042959992163,2.8366827964782715,2.8601202964782715,2.8131232261657715,2.8131256103515625
END inner strategy,1.2432323209995957,2.836683750152588,2.836686134338379,2.813124179840088,2.813126564025879
END compute,1.3308374839998578,2.8774523735046387,2.8794054985046387,2.8618273735046387,2.8637804985046387
START final strategy,1.3344733310004813,2.877453327178955,2.877455711364746,2.861828327178955,2.861830711364746
END final strategy,1.4009042430006957,2.8774542808532715,2.8774566650390625,2.8618292808532715,2.8618316650390625
START compute,1.402565649999815,2.877455234527588,2.877457618713379,2.861830234527588,2.861832618713379
START inner strategy,1.485128767999413,2.89345121383667,2.91688871383667,2.86989164352417,2.869894027709961
END inner strategy,1.4895801260008739,2.8934521675109863,2.8934545516967773,2.8698925971984863,2.8698949813842773
END compute,1.577142869000454,2.934220790863037,2.936173915863037,2.918595790863037,2.920548915863037
START final strategy,1.5790760519994365,2.9342217445373535,2.9342241287231445,2.9185967445373535,2.9185991287231445
END final strategy,1.6456130009992194,2.93422269821167,2.934225082397461,2.91859769821167,2.918600082397461
START compute,1.6478149970007507,2.9342236518859863,2.9342260360717773,2.9185986518859863,2.9186010360717773
START inner strategy,1.728868849000719,2.9502196311950684,2.9736571311950684,2.9266600608825684,2.9266624450683594
END inner strategy,1.7333009199992375,2.9502205848693848,2.950222969055176,2.9266610145568848,2.926663398742676
END compute,1.8215535189992806,2.9909892082214355,2.9929423332214355,2.9753642082214355,2.9773173332214355
START final strategy,1.8227741490009066,2.990990161895752,2.990992546081543,2.975365161895752,2.975367546081543
END final strategy,1.8894212979994336,2.9909911155700684,2.9909934997558594,2.9753661155700684,2.9753684997558594
START compute,1.8909705030000623,2.9909920692443848,2.990994453430176,2.9753670692443848,2.975369453430176
START inner strategy,1.9727653490008379,3.006988048553467,3.030425548553467,2.983428478240967,2.983430862426758
END inner strategy,1.9772141920002468,3.006989002227783,3.006991386413574,2.983429431915283,2.983431816101074
END compute,2.0652307069995004,3.047757625579834,3.049710750579834,3.032132625579834,3.034085750579834
START final strategy,2.0664961189995665,3.0477585792541504,3.0477609634399414,3.0321335792541504,3.0321359634399414
END final strategy,2.1335691990007035,3.047759532928467,3.047761917114258,3.032134532928467,3.032136917114258
START compute,2.1352905809999356,3.047760486602783,3.047762870788574,3.032135486602783,3.032137870788574
START inner strategy,2.217847776999406,3.0637564659118652,3.0871939659118652,3.0401968955993652,3.0401992797851562
END inner strategy,2.2222840760005056,3.0637574195861816,3.0637598037719727,3.0401978492736816,3.0402002334594727
END compute,2.309809726999447,3.1045260429382324,3.1064791679382324,3.0889010429382324,3.0908541679382324
START final strategy,2.311042097999234,3.104526996612549,3.10452938079834,3.088901996612549,3.08890438079834
END final strategy,2.3786467549998633,3.1045279502868652,3.1045303344726562,3.0889029502868652,3.0889053344726562
START compute,2.381343363000269,3.1045289039611816,3.1045312881469727,3.0889039039611816,3.0889062881469727
START inner strategy,2.463571148999108,3.1205248832702637,3.1439623832702637,3.0969653129577637,3.0969676971435547
END inner strategy,2.469029206000414,3.12052583694458,3.120528221130371,3.09696626663208,3.096968650817871
END compute,2.5567743240007985,3.161294460296631,3.163247585296631,3.145669460296631,3.147622585296631
START final strategy,2.5584816379996482,3.1612954139709473,3.1612977981567383,3.1456704139709473,3.1456727981567383
END final strategy,2.6249306669997168,3.1612963676452637,3.1612987518310547,3.1456713676452637,3.1456737518310547
START compute,2.6309027110000898,3.16129732131958,3.161299705505371,3.14567232131958,3.145674705505371
