,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,8,8,0.8013040109999565,79.86981110968566,6.917910575866699,6.917299270629883
1,8,1,8,16,1.356761777000429,94.34228039869045,6.917910575866699,6.917299270629883
2,8,1,8,24,1.9460283730004448,98.66248748674134,6.91887092590332,6.917299270629883
3,8,1,16,8,0.9866690270009713,64.86470969351407,7.0070013999938965,7.00577974319458
4,8,1,16,16,1.564377720000266,81.82167155894948,7.0070013999938965,7.00577974319458
5,8,1,16,24,2.1657491509995452,88.65292636101803,7.0070013999938965,7.00577974319458
6,8,1,24,8,1.1941696499998216,53.59372514617966,7.096886157989502,7.095053195953369
7,8,1,24,16,1.7955463279995456,71.28749506709046,7.096886157989502,7.095053195953369
8,8,1,24,24,2.3855095520011673,80.48594894073433,7.096886157989502,7.095053195953369
9,16,1,8,8,1.332018220999089,96.09478157437874,7.014308929443359,7.0062384605407715
10,16,1,8,16,2.3122574930002884,110.71431307930378,7.014308929443359,7.0062384605407715
11,16,1,8,24,3.307529104000423,116.09875164380439,7.014308929443359,7.0062384605407715
12,16,1,16,8,1.6637951319989952,76.9325486883786,7.187351226806641,7.184907913208008
13,16,1,16,16,2.6570679420001397,96.34680241081564,7.187351226806641,7.184907913208008
14,16,1,16,24,3.665824118999808,104.75134309083313,7.187351226806641,7.184907913208008
15,16,1,24,8,2.0803710800009867,61.527484798500126,7.368951320648193,7.365286350250244
16,16,1,24,16,3.0875430969990703,82.91382240099533,7.368951320648193,7.365286350250244
17,16,1,24,24,4.103601994000201,93.5763264959514,7.368951320648193,7.365286350250244
