batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
16,1,256,128,20.558221190000125,99.6195138223429,5.288928031921387,5.237051963806152,5.23685359954834,5.288668632507324
16,2,256,128,26.449605326000665,77.43026690786806,5.369258403778076,5.363577365875244,5.363577365875244,5.369289398193359
16,1,256,256,41.95594044900014,97.62622303697194,5.452342987060547,5.4025726318359375,5.402780532836914,5.452480316162109
16,2,256,256,54.26681859000064,75.47890417063698,5.516465663909912,5.529052734375,5.528609275817871,5.517055511474609
16,1,256,512,84.98616415800018,96.392160784784,5.653743743896484,5.60791015625,5.6081085205078125,5.653881072998047
16,2,256,512,106.85152221200065,76.66713426643112,5.561028957366943,5.609304904937744,5.6091179847717285,5.561618804931641
16,1,256,1024,180.44940180000003,90.79553512823004,5.803203582763672,5.7650146484375,5.7652130126953125,5.803340911865234
16,2,256,1024,220.74637458100074,74.22092449354383,5.645738124847412,5.76444673538208,5.764791011810303,5.646327972412109
32,1,256,128,25.520819487999688,160.49641360168732,5.904979705810547,5.859161376953125,5.8593597412109375,5.905117034912109
32,2,256,128,30.604364076999218,133.83712171553856,5.812150001525879,5.859991550445557,5.860367298126221,5.813198089599609
32,1,256,256,52.60451265899974,155.7280846436753,5.979427337646484,5.9374542236328125,5.937652587890625,5.979564666748047
32,2,256,256,63.126635653999074,129.770894886603,5.853769302368164,5.9361491203308105,5.936850070953369,5.854816436767578
32,1,256,512,108.556531963,150.92597104690358,6.128353118896484,6.0941925048828125,6.094390869140625,6.128490447998047
32,2,256,512,133.45303282999885,122.76978388996977,5.939942836761475,6.0829033851623535,6.058834552764893,5.940990447998047
32,1,256,1024,229.4883086209993,142.787230412319,6.426204681396484,6.4076690673828125,6.407867431640625,6.426342010498047
32,2,256,1024,294.77362121299893,111.16327120845844,6.112893581390381,6.406307697296143,6.406600475311279,6.113941192626953
