,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
0,16,1,128,0,2.118025855000269,966.9381491094875,4.822001934051514,4.766341686248779,4.766517162322998,4.822330951690674
1,16,2,128,0,2.2816367049999826,897.6012682089174,4.851779460906982,4.796119213104248,4.796294689178467,4.852108478546143
2,16,4,128,0,2.4168920040001467,847.3692645804606,4.914275646209717,4.858615398406982,4.858790874481201,4.914604663848877
3,16,1,256,0,4.099954137000168,999.0355655531647,5.067866802215576,5.014159679412842,5.0143351554870605,5.068195819854736
4,16,2,256,0,4.192942719000712,976.8795508315898,5.095683574676514,5.042604923248291,5.042235851287842,5.096261501312256
5,16,4,256,0,4.526077441999405,904.9778870311558,5.157199382781982,5.10412073135376,5.1037516593933105,5.157777309417725
6,16,1,512,0,8.83002391700029,927.7438064723796,5.699611663818359,5.650439262390137,5.6500701904296875,5.700189590454102
7,16,2,512,0,8.372730236999814,978.4144201611618,5.582576751708984,5.533404350280762,5.5330352783203125,5.583154678344727
8,16,4,512,0,8.383801726999991,977.1223445823755,5.516124725341797,5.466952323913574,5.466583251953125,5.516702651977539
9,16,1,1024,0,18.851539670999955,869.106730056863,7.632656097412109,7.591296195983887,7.5909271240234375,7.633234024047852
10,16,2,1024,0,17.263785189000373,949.0386853538395,6.804347991943359,6.7632551193237305,6.763411521911621,6.80500602722168
11,16,4,1024,0,18.02030291200026,909.1967032967799,6.390193939208984,6.349123954772949,6.348537445068359,6.390775680541992
12,32,1,128,0,4.029254851000587,1016.5651346136217,5.194819927215576,5.1417412757873535,5.141604900360107,5.195397853851318
13,32,2,128,0,4.482006287999866,913.8764510363674,5.190898418426514,5.137819766998291,5.137450695037842,5.191476345062256
14,32,4,128,0,4.402050261000113,930.4755187119148,5.188937664031982,5.13585901260376,5.1354899406433105,5.189515590667725
15,32,1,256,0,8.302053260999855,986.7438502813699,5.464381694793701,5.4152092933654785,5.414840221405029,5.464959621429443
16,32,2,256,0,8.546876245000021,958.478836615,5.456538677215576,5.4073662757873535,5.406997203826904,5.457116603851318
17,32,4,256,0,8.50003950700011,963.7602264381915,5.452617168426514,5.403444766998291,5.403075695037842,5.453195095062256
18,32,1,512,0,17.687174880000384,926.3209139479965,6.504726409912109,6.463366508483887,6.4629974365234375,6.505304336547852
19,32,2,512,0,17.195242236999547,952.8217034794676,6.238918304443359,6.197558403015137,6.1971893310546875,6.239496231079102
20,32,4,512,0,16.66067011099949,983.3938185465403,6.106014251708984,6.064654350280762,6.0642852783203125,6.106592178344727
21,32,1,1024,0,36.8681696449994,888.7883590511925,10.33614730834961,10.310412406921387,10.310043334960938,10.336725234985352
22,32,2,1024,0,35.374439191999954,926.3185720668779,8.67953109741211,8.653796195983887,8.653427124023438,8.680109024047852
23,32,4,1024,0,35.1541649210003,932.1228387486212,7.851222991943359,7.8257551193237305,7.825911521911621,7.85188102722168
