,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
0,16,1,128,0,2.0934608739989926,978.284345046224,4.822001934051514,4.766341686248779,4.766517162322998,4.822330951690674
1,16,2,128,0,1.620986833000643,1263.4279059558455,4.851779460906982,4.796119213104248,4.796294689178467,4.852108478546143
2,16,4,128,0,1.7861628440005006,1146.5919845320811,4.914275646209717,4.858615398406982,4.858790874481201,4.914604663848877
3,16,1,256,0,3.984008626001014,1028.1102237751425,5.067866802215576,5.014159679412842,5.0143351554870605,5.068195819854736
4,16,2,256,0,2.9977663150002627,1366.3506656620903,5.095683574676514,5.042604923248291,5.042235851287842,5.096261501312256
5,16,4,256,0,3.0491388000009465,1343.3301232461863,5.157199382781982,5.10412073135376,5.1037516593933105,5.157777309417725
6,16,1,512,0,8.561419732999639,956.8506457432842,5.699611663818359,5.650439262390137,5.6500701904296875,5.700189590454102
7,16,2,512,0,6.06250609000017,1351.25637457294,5.464473247528076,5.4602532386779785,5.467696666717529,5.591089248657227
8,16,4,512,0,6.385355487000197,1282.9356199005538,5.508159160614014,5.458986759185791,5.458617687225342,5.572244644165039
9,16,1,1024,0,18.069799984999918,906.7062177556292,7.704067230224609,7.662707328796387,7.6623382568359375,7.704645156860352
10,16,2,1024,0,13.855468277999535,1182.493414965657,6.431828022003174,7.66707181930542,7.542829513549805,6.900190353393555
11,16,4,1024,0,11.140201705999061,1470.7094568294149,6.122798442840576,6.406303405761719,6.257431507110596,6.533693313598633
12,32,1,128,0,4.577694829999018,894.7734945452619,5.353511333465576,5.300436496734619,5.300063610076904,5.354089260101318
13,32,2,128,0,3.051290097999299,1342.3830145438176,5.373393535614014,5.320314884185791,5.319945812225342,5.373971462249756
14,32,4,128,0,2.928243071999532,1398.7909812429175,5.403171062469482,5.35009241104126,5.3497233390808105,5.403748989105225
15,32,1,256,0,9.698524851999537,844.6645366187893,5.686549663543701,5.6373772621154785,5.637008190155029,5.687127590179443
16,32,2,256,0,5.974944093999511,1371.0588536262662,5.702510356903076,5.6533379554748535,5.652968883514404,5.703088283538818
17,32,4,256,0,5.913825622999866,1385.2285343247067,5.730327129364014,5.68120813369751,5.681056499481201,5.730905055999756
18,32,1,512,0,17.413370172000214,940.8862177836553,6.790370941162109,6.7490644454956055,6.748912811279297,6.790948867797852
19,32,2,512,0,14.03275939300147,1167.5536892744815,6.297267436981201,6.609663963317871,6.609523773193359,6.548944473266602
20,32,4,512,0,10.698238507999122,1531.4670716819044,6.321162700653076,6.279856204986572,6.279778957366943,6.447778701782227
21,32,1,1024,0,36.54175238700009,896.7276569816992,10.68526840209961,10.659586906433105,10.659509658813477,10.685846328735352
22,32,2,1024,0,26.593014554000547,1232.2032890803089,8.116985321044922,9.983926773071289,8.391077995300293,9.053033828735352
23,32,4,1024,0,22.89464105799925,1431.251964902549,7.439357280731201,7.540981292724609,7.763733386993408,8.256513595581055
