,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
0,16,1,128,0,2.1924680239990266,934.1071238359411,4.822001934051514,4.766341686248779,4.766517162322998,4.822330951690674
1,16,2,128,0,1.5392617540001083,1330.5079494620222,4.851779460906982,4.796119213104248,4.796294689178467,4.852108478546143
2,16,4,128,0,1.8372188210014428,1114.728401750023,4.914275646209717,4.858615398406982,4.858790874481201,4.914604663848877
3,16,1,256,0,4.106312302999868,997.4886705542747,5.067866802215576,5.014159679412842,5.0143351554870605,5.068195819854736
4,16,2,256,0,3.22136883299936,1271.5091665508808,5.095683574676514,5.042604923248291,5.042235851287842,5.096261501312256
5,16,4,256,0,3.065937785000642,1335.9697055950344,5.157199382781982,5.10412073135376,5.1037516593933105,5.157777309417725
6,16,1,512,0,9.423050522000267,869.3575377606119,5.699611663818359,5.650439262390137,5.6500701904296875,5.700189590454102
7,16,2,512,0,6.276569521000056,1305.1715547149322,5.464473247528076,5.5931267738342285,5.414931774139404,5.591089248657227
8,16,4,512,0,6.182957308999903,1324.9323245489238,5.508159160614014,5.458986759185791,5.458617687225342,5.572244644165039
9,16,1,1024,0,17.826071273999332,919.1032476066276,7.704067230224609,7.662707328796387,7.6623382568359375,7.704645156860352
10,16,2,1024,0,13.040751770000497,1256.369286753119,6.431828022003174,6.542926788330078,6.543807029724121,6.900190353393555
11,16,4,1024,0,10.79005164299997,1518.4357352570314,6.122798442840576,6.0814385414123535,6.257431507110596,6.533693313598633
12,32,1,128,0,4.251467232001232,963.4320991983627,5.353511333465576,5.300436496734619,5.300063610076904,5.354089260101318
13,32,2,128,0,3.1535685550006747,1298.8460306356408,5.373393535614014,5.320314884185791,5.319945812225342,5.373971462249756
14,32,4,128,0,3.3121393710007396,1236.662936307062,5.403171062469482,5.35009241104126,5.3497233390808105,5.403748989105225
15,32,1,256,0,8.664472778000345,945.4701064789558,5.686549663543701,5.6373772621154785,5.637008190155029,5.687127590179443
16,32,2,256,0,6.463978633000806,1267.3309218840943,5.702510356903076,5.6533379554748535,5.652968883514404,5.703088283538818
17,32,4,256,0,6.318850327001201,1296.4383671179246,5.730327129364014,5.68120813369751,5.681056499481201,5.730905055999756
18,32,1,512,0,17.32839432699984,945.500182580197,6.790370941162109,6.7490644454956055,6.748912811279297,6.790948867797852
19,32,2,512,0,12.151887199999692,1348.2679463976933,6.297267436981201,6.343916416168213,6.687648773193359,6.548944473266602
20,32,4,512,0,11.522749936000764,1421.8828049727204,6.321162700653076,6.279856204986572,6.279778957366943,6.447778701782227
21,32,1,1024,0,37.04302912499952,884.5928849238088,10.68526840209961,10.659586906433105,10.659509658813477,10.685846328735352
22,32,2,1024,0,27.97012323600029,1171.5357749237362,8.116985321044922,8.858682632446289,9.983850479125977,9.053033828735352
23,32,4,1024,0,24.059048687999166,1361.9823636811095,7.439357280731201,7.947366237640381,8.0098876953125,8.256513595581055
