,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,128,1,0.9328068050001548,8.576266765119357,3.068979263305664,3.037721633911133
1,8,2,128,1,0.7986676610000814,10.016682020131507,3.0968117713928223,3.065554141998291
2,8,4,128,1,0.6909902699999293,11.57758704764514,3.1618762016296387,3.1306185722351074
3,8,8,128,1,0.7340632259997619,10.898243797874972,3.1732306480407715,3.1419730186462402
4,8,1,192,1,1.4991007199998876,5.336532691412889,3.381429672241211,3.342355728149414
5,8,2,192,1,1.200039186999902,6.666448968220779,3.408712863922119,3.3696389198303223
6,8,4,192,1,1.0458771099999922,7.64908221387507,3.4692606925964355,3.4301867485046387
7,8,8,192,1,1.0552841089997855,7.580896871063967,3.490567684173584,3.4396491050720215
8,8,1,256,1,2.1751956370001153,3.677830105908573,3.693880081176758,3.6390552520751953
9,8,2,256,1,1.5545798059999925,5.146085115169725,3.701937198638916,3.6550469398498535
10,8,4,256,1,1.4343092730000535,5.577597628764478,3.7218356132507324,3.65114164352417
11,8,8,256,1,1.3186757609996675,6.066692235197623,3.7507681846618652,3.6562705039978027
12,8,1,320,1,2.9099466870000015,2.7491912603552096,3.9507884979248047,3.8564090728759766
13,8,2,320,1,1.9798335180000777,4.040743793488845,3.973799228668213,3.8476815223693848
14,8,4,320,1,1.8074654360000295,4.4260874043070055,4.032332897186279,3.841762065887451
15,8,8,320,1,1.7132087109998793,4.6696003520382305,3.9465842247009277,3.844266414642334
16,8,1,384,1,3.4727423799999997,2.303654899964103,4.264093399047852,4.050813674926758
17,8,2,384,1,2.5427136289999908,3.146244983610787,4.25945520401001,4.038240909576416
18,8,4,384,1,2.190097888000082,3.6528047644963073,4.256404399871826,4.035190105438232
19,8,8,384,1,2.0067305830002624,3.9865839828080967,4.142392635345459,4.032262325286865
20,16,1,128,1,2.1528712699998778,7.431935305635301,3.868440628051758,3.6628589630126953
21,16,2,128,1,1.5473725039998953,10.34010877060349,3.860628604888916,3.6550469398498535
22,16,4,128,1,1.4239077909999196,11.236682670837991,3.8567233085632324,3.65114164352417
23,16,8,128,1,1.3086344439998356,12.226485458457036,3.7507681846618652,3.6562705039978027
24,16,1,192,1,3.388103868999906,4.722405398014804,4.272027969360352,4.050813674926758
25,16,2,192,1,2.4557146039999225,6.515415095035411,4.25945520401001,4.038240909576416
26,16,4,192,1,2.152250514000116,7.4340788379057345,4.311946392059326,4.035190105438232
27,16,8,192,1,1.9792250820000845,8.083971926947982,4.142392635345459,4.032262325286865
28,16,1,256,1,4.186562318999904,3.8217513035425488,4.745805740356445,4.43754768371582
29,16,2,256,1,3.5696201339999334,4.4822696531776955,4.7534966468811035,4.4214348793029785
30,16,4,256,1,2.815076551999937,5.683682025852191,4.74568510055542,4.413623332977295
31,16,8,256,1,2.7119138940001903,5.899892336330527,4.535481929779053,4.409718990325928
32,16,1,320,1,5.346846944999925,2.992417805219264,5.171976089477539,4.824281692504883
33,16,2,320,1,4.736784725999996,3.377818694646756,5.152323246002197,4.804628849029541
34,16,4,320,1,3.5652893280000626,4.487714327794863,5.144633769989014,4.796939373016357
35,16,8,320,1,3.4114744350004003,4.690054199394322,4.9313788414001465,4.78998327255249
36,16,1,384,1,7.341717530000096,2.1793265587541324,5.574586868286133,5.211259841918945
37,16,2,384,1,5.641871091999974,2.835938598931759,5.552858829498291,5.1895318031311035
38,16,4,384,1,4.487015123999981,3.565844900860661,5.539432048797607,5.17610502243042
39,16,8,384,1,4.124601461000111,3.879162666087115,5.33289098739624,5.175862789154053
40,24,1,128,1,3.3765928440000152,7.107756578542311,4.367242813110352,4.050813674926758
41,24,2,128,1,2.449427732999993,9.798207016544819,4.35467004776001,4.038240909576416
42,24,4,128,1,2.141168070000049,11.208835184992953,4.351619243621826,4.035190105438232
43,24,8,128,1,1.9718306619997747,12.17143057084825,4.166196346282959,4.032262325286865
44,24,1,192,1,4.8693406890001825,4.928798688129563,4.970792770385742,4.630914688110352
45,24,2,192,1,4.054840904000002,5.918851212220085,4.9532151222229,4.61333703994751
46,24,4,192,1,3.3846366469999793,7.090864545614591,4.951934337615967,4.611079692840576
47,24,8,192,1,3.0571892329999173,7.850348202505478,4.763585567474365,4.605222225189209
48,24,1,256,1,7.249490410999897,3.3105775219157456,5.574586868286133,5.211259841918945
49,24,2,256,1,5.582780411000158,4.2989331897616925,5.552858829498291,5.1895318031311035
50,24,4,256,1,4.4177618999999595,5.432615098609144,5.539432048797607,5.17610502243042
51,24,8,256,1,4.067898152999987,5.899852724262655,5.35669469833374,5.175862789154053
52,24,1,320,1,8.145609143000001,2.946372650426593,6.178686141967773,5.791910171508789
53,24,2,320,1,6.427112229999921,3.734180941788268,6.149389743804932,5.762613773345947
54,24,4,320,1,5.4985261679998985,4.36480599831901,6.162086009979248,5.767497539520264
55,24,8,320,1,5.377686994000214,4.462885256575245,5.9528632164001465,5.7406439781188965
56,24,1,384,1,10.203285141999913,2.35218360224086,6.291452407836914,6.135133743286133
57,24,2,384,1,8.111573082000177,2.9587355938710234,6.288034915924072,6.131716251373291
58,24,4,384,1,7.357668793999892,3.2619027401140657,6.333934307098389,6.177615642547607
59,24,8,384,1,6.492978245000359,3.6963006950593402,6.6022467613220215,6.31104040145874
