,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3,size
0,32,4,256,128,32.09681678099969,127.61390102786467,1.439746379852295,1.5920825004577637,1.5929369926452637,1.4395089149475098,0.75
1,32,4,256,256,59.85358264699971,136.8673292008969,1.4584722518920898,1.6134052276611328,1.6142597198486328,1.4584722518920898,0.75
2,32,4,256,512,113.84371988899966,143.9165903571562,1.5026874542236328,1.9233312606811523,1.6643056869506836,1.5026874542236328,0.75
3,32,4,256,1024,225.0670522549999,145.5921676304447,1.8439950942993164,2.019441604614258,2.020296096801758,1.8439950942993164,0.75
4,32,4,256,128,36.5032013619998,112.20933636423399,2.158109664916992,2.440370559692383,2.183534622192383,2.158109664916992,1.0
5,32,4,256,256,67.69138196899985,121.01983681987218,2.182584762573242,2.4687671661376953,2.4687671661376953,2.182584762573242,1.0
6,32,4,256,512,130.6787725219997,125.37613939740491,2.2403316497802734,2.534303665161133,2.534303665161133,2.2403316497802734,1.0
7,32,4,256,1024,261.20441188099994,125.44964215584733,2.347013473510742,2.656625747680664,2.656625747680664,2.347013473510742,1.0
8,32,4,256,128,37.19953628799976,110.10889943059136,2.502507209777832,2.9593887329101562,2.9593887329101562,2.502507209777832,1.25
9,32,4,256,256,69.5861654499995,117.72454980130047,2.7876176834106445,2.995485305786133,2.995485305786133,2.5337114334106445,1.25
10,32,4,256,512,134.6751207669995,121.65572903658907,2.8587517738342285,3.0779457092285156,3.0779457092285156,2.858901023864746,1.25
11,32,4,256,1024,277.6251569870001,118.02964960244714,2.9950876235961914,3.489107131958008,3.235200881958008,2.9950876235961914,1.25
12,32,4,256,128,43.979872681000415,93.133511997853,3.261699676513672,3.947408676147461,3.948263168334961,3.262554168701172,1.5
13,32,4,256,256,83.00311420599974,98.69509208616965,3.556468963623047,3.991212844848633,3.992067337036133,3.300487518310547,1.5
14,32,4,256,512,164.99200888799896,99.3017789796226,3.635838508605957,4.33906364440918,4.33991813659668,3.3834304809570312,1.5
15,32,4,256,1024,342.20431951299906,95.75565862708306,3.8001937866210938,4.526918411254883,4.527772903442383,3.547130584716797,1.5
