k,world_size,hit_rate_sort,hit_rate_naive,traffic_reduction_pct,avg_transfers_sort,avg_transfers_naive,num_tokens
1,2,0.9984619140625,0.500341796875,99.69252202589797,0.0015380859375,0.499658203125,32768.0
1,4,0.9965118408203125,0.25,99.53514313718924,0.0034881591796875,0.75,32768.0
1,8,0.9938385009765625,0.1245758056640625,99.29627577302476,0.0061614990234375,0.8754241943359375,32768.0
1,16,0.9912353515625,0.0624969482421875,99.06504796171532,0.0087646484375,0.9375030517578125,32768.0
1,32,0.9880096435546875,0.0307769775390625,98.76288011170223,0.0119903564453125,0.9692230224609375,32768.0
1,64,0.982666015625,0.01553955078125,98.23924950198305,0.017333984375,0.98446044921875,32768.0
2,2,0.917486572265625,0.7542724609375,32.69749484693567,0.671893310546875,0.998321533203125,32768.0
2,4,0.8899627685546875,0.4409149169921875,39.37344493758994,0.909149169921875,1.4995941162109374,32768.0
2,8,0.881829833984375,0.237457275390625,41.44274194545013,1.0239532470703125,1.7486419677734375,32768.0
2,16,0.87974853515625,0.12265625,42.383600719776936,1.079827880859375,1.8741668701171874,32768.0
2,32,0.8802490234375,0.0619171142578125,42.904217950134694,1.1063018798828126,1.9376251220703125,32768.0
2,64,0.878692626953125,0.031536865234375,43.036393372761154,1.121307373046875,1.968463134765625,32768.0
4,2,0.984478759765625,0.94437255859375,26.126908274333324,1.47705078125,1.999444580078125,32768.0
4,4,0.981427001953125,0.6943572998046875,32.99691150897907,2.0094024658203127,2.9989837646484374,32768.0
4,8,0.95460205078125,0.4208831787109375,27.716301396941766,2.5305877685546876,3.5009124755859373,32768.0
4,16,0.9279296875,0.23330078125,24.211295905853245,2.841058349609375,3.7486602783203127,32768.0
4,32,0.910845947265625,0.1218994140625,22.30432178271324,3.0107635498046874,3.8750732421875,32768.0
4,64,0.90106201171875,0.06268310546875,21.293146104075458,3.09893798828125,3.93731689453125,32768.0
8,2,0.9994140625,0.9976898193359375,19.701266334549103,3.212127685546875,4.000238037109375,32768.0
8,4,0.9924224853515625,0.9137908935546875,21.410398550044427,4.7163848876953125,6.001290893554687,32768.0
8,8,0.972705078125,0.679833984375,17.92792181657418,5.744024658203125,6.998757934570312,32768.0
8,16,0.97613525390625,0.422271728515625,16.875696049683516,6.233746337890625,7.499307250976562,32768.0
8,32,0.9589263916015625,0.236285400390625,13.519271531560122,6.702145385742187,7.749871826171875,32768.0
8,64,0.9357208251953125,0.125927734375,10.28429095242988,7.064279174804687,7.874072265625,32768.0
